episode,depth,architecture,architecture_summary,reward,metrics,best_reward,best_architecture
1,2,"[{'type': 'dense', 'units': 256, 'activation': 'sigmoid'}, {'type': 'lstm', 'units': 32, 'activation': 'linear'}]","['dense', 'lstm']",0.603,"{'accuracy': 0.603, 'precision': 0.6165485217739494, 'recall': 0.603}",0.603,"[{'type': 'dense', 'units': 256, 'activation': 'sigmoid'}, {'type': 'lstm', 'units': 32, 'activation': 'linear'}]"
2,2,"[{'type': 'dense', 'units': 32, 'activation': 'tanh'}, {'type': 'lstm', 'units': 64, 'activation': 'relu'}]","['dense', 'lstm']",0.643,"{'accuracy': 0.643, 'precision': 0.6481355442716598, 'recall': 0.643}",0.643,"[{'type': 'dense', 'units': 32, 'activation': 'tanh'}, {'type': 'lstm', 'units': 64, 'activation': 'relu'}]"
3,2,"[{'type': 'dense', 'units': 128, 'activation': 'relu'}, {'type': 'lstm', 'units': 32, 'activation': 'sigmoid'}]","['dense', 'lstm']",0.613,"{'accuracy': 0.613, 'precision': 0.6150288566041615, 'recall': 0.613}",0.643,"[{'type': 'dense', 'units': 32, 'activation': 'tanh'}, {'type': 'lstm', 'units': 64, 'activation': 'relu'}]"
